"";"";"";"Name";"Data File";"Type";"Level";"Acq. Date-Time";"i-C14:0";"a-C14:0";"C14:0";"i-C15:0";"a-C15:0";"bohMe C16:0";"C15:0";"ribohMe C16:0";"i-C16:0";"7Me C17:0";"C16:0";"bohMe C17:0 sul284";"bohMe C17:0 ";"C16:1omega7";"ribohMe C17:0";"C16:1 omega5 ";"i-C17:0";"a-C17:0";"10Me C18:0";"C17:0";"bohMe C18:0";"C17delta";"unk 126";"C17:1 omega 9";"C18:0";"2-OH C14:0";"bohMe C19:0";"C18:1 omega 9 cis";"C18:1 omega 9trans e 7cis";"boh C18:1";"C18:2";"3-OH C14:0";"C19:0";"C19:0 delta";"C20:0";"2-OH C16:0";"C20:2";"cis-11.14-Eicosadienoic acid methyl ester"
"35";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"35-9C3 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 05:06";0.0271;0;0.1433;1.7985;0.8103;1.7674;0.1465;1.7507;0.9997;0.2004;4.6889;3.0398;0.9;0.2715;1.0046;0.1689;0.8101;0.7529;2.891;0.3405;0.7806;1.9397;2.0159;0.0029;9.9029;0.8342;2.9134;6.643;0.9195;1.5584;4.4139;0.1622;18.0152;0.1597;2.3891;1.228;0.7826;0.2387
"36";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"36-4C3 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 05:54";0.1341;0;0.311;2.2509;1.333;1.8013;0.2133;1.7528;1.3517;0.2519;5.2255;3.6968;1.122;0.1742;2.7121;0.17;0.9248;0.7866;3.6126;0.3668;1.031;2.2185;2.0992;0.0036;11.9711;2.0247;2.924;7.2903;0.9225;1.5179;4.622;0.1555;18.3434;0.2028;2.1159;0.8421;0.7187;0.3389
"37";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"37-10A1 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 06:41";0.2221;0;0.5187;2.938;2.1761;1.8491;0.3164;1.7739;1.8881;0.2216;6.1543;5.9082;1.7201;0.1419;1.2596;0.1785;1.2808;0.9915;5.814;0.4398;1.097;1.7552;1.674;8e-04;22.5951;0.9295;3.6259;12.2995;1.15;1.3883;8.2863;0.1658;31.6922;0.1579;3.9872;0.7278;0.7157;0.2583
"38";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"38-2C1 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 07:28";0.1844;0;0.314;2.5533;1.8489;1.8468;0.1969;1.7611;1.9341;0.3161;4.7215;4.9834;1.5173;0.3256;1.8835;0.1432;1.0596;0.8691;5.3772;0.3884;1.026;1.8255;1.6034;0.0014;10.7848;1.5302;2.8164;5.1806;0.8899;1.3355;3.3855;0.1669;13.0834;0.2463;2.3914;1.5402;0.6031;0.4286
"39";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"39-2A2 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 08:15";0.4382;0;0.6483;3.9953;3.7006;1.9499;0.4097;1.8251;3.584;0.5333;6.2984;8.1055;2.5345;0.1703;3.2632;0.1515;1.6976;1.2971;10.0718;0.5073;1.4728;3.0591;1.9358;0.0012;23.581;2.2398;3.2915;8.6245;1.1161;1.5639;5.7528;0.1977;21.6599;0.2009;4.5493;1.1081;0.8157;0.2584
"40";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"40-BIANCO BIS COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 09:02";0;0.0082;0;1.0891;0;1.733;0.0369;1.7326;0;0.1896;2.6461;0.7366;0.1592;0.1792;0.821;0.155;0.1279;0.1355;0.4971;0.1738;0.2459;0;1.3845;0.0091;12.2454;1.048;2.5933;5.1219;0.783;1.0692;3.35;0.1635;12.5821;0.2096;0.5106;1.0621;0.624;0.438
"310";"!";"!";"2.5 G SUOLO RIPRESO CON 200 UL EPTANO";"MIX2017-2E5G.D";"Sample";NA;"03/11/2017 18:32";0.2996;0;0.6225;4.3292;2.5552;1.2984;0.5029;1.5961;3.0013;0.5194;7.0117;6.9974;2.5048;0.7023;3.0944;0.1457;1.7295;1.3547;8.0318;0.6159;1.2762;3.3058;2.0491;1e-04;96.0237;0.7451;3.6302;5.1672;1.0063;1.0852;0.7883;0.1475;15.3648;0.1767;3.4399;0.6772;0.6003;0.3386
"41";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"COO09A2M2017.D";"Sample";NA;"03/11/2017 19:18";0;0;0.1007;0.5737;0.289;1.1516;0.0944;1.1673;0.5195;0.1713;2.8028;1.1243;0.4877;0.5165;0.6882;0.1558;0.3158;0.289;1.1884;0.1893;0.3247;0.5364;1.0956;0.0014;46.513;0.6662;2.5887;3.3051;0.7269;1.0944;0.7797;0.1771;13.4209;0.1366;1.1333;0.7203;0.6119;0.2386
"61";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO04A3M2017.D";"Sample";NA;"03/11/2017 20:48";0.0444;0;0.1848;0.8406;0.5052;1.1731;0.1243;1.1948;0.5422;0.1876;2.5105;1.5043;0.5637;0.6915;0.8953;0.1394;0.3911;0.3013;1.3187;0.2055;0.3591;0.5328;1.1016;0.0012;17.7174;0.6443;2.5085;2.8824;0.7818;1.008;0.7336;0.1735;9.6835;0.1311;0.6352;0.7416;0.6024;0.2451
"81";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO02C2M2017.D";"Sample";NA;"03/11/2017 22:18";0.0385;0;0.1516;0.6214;0.41;1.1559;0.1161;1.2487;0.5023;0.1765;2.3048;1.1461;0.4616;0.5398;0.4327;0.1429;0.2885;0.2033;0.9611;0.2002;0.3249;0.4453;1.1769;7e-04;19.0589;0.6795;2.457;2.738;0.7068;0.8285;0.7579;0.2444;8.6821;0.1419;0.6898;0.9705;0.6003;0.2614
