"";"MH1";"MH2";"Name";"Data.File";"Type";"Level";"Acq.Date.Time";"STAGIONE";"STRINGA";"MAN";"FIELD";"TIL";"PARC";"12MetC14.0.on.242";"12MetC14.0.on.TIC";"11MetC14.0.on.242";"11MetC14.0.on.TIC";"00LinC14.0";"13MetC15.0";"12MetC15.0";"08MetC15.0";"00LinC15.0";"14MetC16.0";"12EthC16.0";"00Linc16.0";"12EthC17.0";"00LinC16.1";"15MetC17.0.on.TIC";"15MetC17.0";"00LinC16.1.om5.UNK";"14MetC17.0";"12ProC18.0";"02HydC16.0";"00LinC17.0";"00LinC17.2.9.10CIS";"00LinC17.1.om9";"10MetC17.0.on.TIC";"10MetC17.0.on.74";"10MetC17.0";"00LinC18.0";"18MetC19.0";"00LinC18.1.om6.CISTRANS";"10MetC18.0.on.TIC";"10MetC18.0.on.74";"00LinC18.1.om5";"00LinC18.2";"00LinC19.0";"00LinC19.0.delta";"00LinC20.0";"00LinC20.2";"00LinC20.2.11.14CIS";"SOMMA.AREE"
"47";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B1 RICORSO M.D";"Sample";NA;2017-06-26 10:38:00;"Aut";"OO02B1m";"OO";"02";"Rip";"1";22;267;42;39;522;3685;2250;45;255;457;987;2681;7409;112;55223;701;79;162;467;211;136;148;16;8468;159;9;10;47;11;524;197;12;533;728;96;35;40;888;87673
"48";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"KOVATS MIX 25 PPM.D";"Sample";NA;2017-09-28 02:44:00;"Est";"ko000000";NA;"00";NA;"0";19;372;28;103;476;268;229;91;313;705;217;2547;216;137;13771440;499;185;387;1870;1791;364;74;21;131003;2939;43;30;26;44;0;556;26;449;9268;147;35;831;70757;13998506
"49";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"2-9B1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 03:31:00;"Est";"CO09B1m";"CO";"09";"Rip";"1";996;19137;15;192;38710;138157;78018;6344;19714;78964;7540;618091;55277;46;88146;13251;91;49808;33182;751;45992;2274;17;1852;69;0;252198;7956;7790;5601;2082;257;166165;2088933;56;8270;538;897;3837377
"50";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"3-4C1 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 04:18:00;"Est";"OO04C1m";"OO";"04";"Fzo";"1";186;4836;30;25;6095;48364;28161;2883;8391;30929;3588;368084;31946;55;59632;9059;56;26951;9656;752;11903;1124;56;1482;0;0;297365;4503;5363;0;0;322;114953;1681076;36;6914;59;38;2764873
"51";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"4-9B2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 05:06:00;"Est";"CO09B2m";"CO";"09";"Rip";"2";705;10098;51;164;32779;111705;66832;6213;16542;72692;5234;471110;56090;48;115811;13522;36;44123;35568;660;41108;2094;59;110;0;0;81980;8128;7600;5541;741;456;158059;2206191;71;6014;805;93;3579033
"52";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"5-9C2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 05:52:00;"Est";"CO09C2m";"CO";"09";"Fzo";"2";1896;35553;0;193;54387;261364;137422;15627;32353;161046;11327;640791;120102;112;110516;16431;108;81102;79709;439;68541;3406;26;1057;0;0;42176;11355;4331;0;365;296;97454;1500711;0;5429;0;10;3495635
"53";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"6-9B3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 06:39:00;"Est";"CO09B3m";"CO";"09";"Rip";"3";1037;20244;51;12;39260;156180;85709;9316;21525;96361;4695;512187;50195;146;27562;1618;34;29827;45229;139;28631;1740;71;755;33;0;46187;7774;6616;2883;467;256;148568;1877690;89;5551;0;19;3228657
"54";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"7-MIX BIS COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 07:26:00;"Est";"MS00D1m";"MS";"00";"D";"1";752;14289;18;6;23116;130603;65633;10487;14879;76471;6491;344934;60712;13;49873;8395;37;40996;49868;265;31848;1593;17;823;109;0;98918;6095;3435;0;1636;115;59055;873159;28;4225;58;564;1979516
"55";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"8-10B2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 08:13:00;"Est";"CO10B2m";"CO";"10";"Rip";"2";523;10649;32;295;18783;131795;67060;8174;14578;85964;10368;370671;62123;123;77358;9362;56;44976;46849;762;32285;2441;136;687;0;0;186340;6535;2102;5701;3719;166;37034;684452;38;5058;171;158;1927524
"56";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"9-9A2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 09:00:00;"Est";"CO09A2m";"CO";"09";"Ara";"2";39;311;10;192;241;278;163;245;290;436;524;1644;430;154;44107;265;231;233;416;36;254;43;34;0;97;28;80;21;66;0;0;59;1065;5290;34;82;0;30;57428
"57";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"10-2C2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 09:47:00;"Est";"OO02C2m";"OO";"02";"Fzo";"2";79;120;31;127;396;442;192;181;465;245;331;204;229;111;20044;933;35;413;103;355;340;25;42;0;379;34;114;44;26;0;325;6;561;2404;16;28;191;924;30495
"58";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"11-2B2 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 10:34:00;"Est";"OO02B2m";"OO";"02";"Rip";"2";692;11336;11;4;20637;86573;46205;4807;11329;48899;6634;257031;39288;26;44233;9086;38;30568;27254;854;26971;999;65;0;105;0;20678;4134;4139;0;483;8;82329;1119203;24;2606;1084;0;1908333
"59";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"12-10C3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 11:20:00;"Est";"CO10C3m";"CO";"10";"Fzo";"3";267;5874;49;5;14164;69664;38859;5563;10307;48454;4766;269415;37987;88;50567;5220;86;33384;29547;617;28310;1582;56;5896;98;0;32435;5137;5079;0;0;279;102253;1470170;23;4037;27;776;2281041
"60";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"13-10A3 COLONNA TAGLIATA.D";"Sample";NA;2017-09-28 12:07:00;"Est";"CO10A3m";"CO";"10";"Ara";"3";753;14966;2;153;24458;131068;67940;9944;13848;77429;8870;309997;64568;115;85436;11441;23;43077;43043;663;32997;1432;28;2665;0;0;33870;4570;3584;0;1483;309;64298;754926;4;2942;18;870;1811790
